,feature_colony,feature_tag_id,feature_body_size,feature_age(days),feature_nb_foraging_events,feature_group_period1_1,feature_group_period2_1,feature_group_period3_1,feature_group_period1_2,feature_group_period2_2,feature_group_period1_3,feature_group_period2_3,feature_group_period3_2,feature_group_period3_3,feature_group_period1_4,feature_group_period2_4,feature_group_period3_4,feature_visits_to_brood,feature_visits_to_nest_entrance,feature_visits_to_rubbishpile,feature_nb_interaction_nurses,feature_nb_interaction_cleaners,feature_nb_interaction_foragers,feature_nb_interaction_queen
42,78,147,178.138,260,24,1,1,1,0,0,0,0,0,0,0,0,0,0,1.27273,0,43.090909,80.090909,547.18182,0
43,78,144,151.159,57,0,0,1,1,0,0,1,0,0,0,0,0,0,95.8182,0.636364,2.63636,531,276,135.90909,2.273
44,78,9,187.949,14,0,0,0,0,1,1,0,0,1,0,0,0,0,350.273,0,0.181818,933.72727,87.181818,32.636364,24.36
45,78,673,175.14,78,0,0,0,0,1,1,0,0,1,0,0,0,0,472.545,0,0,653.90909,173.54545,72,8.182
46,78,301,161.245,78,3,0,1,1,0,0,1,0,0,0,0,0,0,31.6364,9.72727,210.909,476.81818,439.90909,434.36364,5.091
47,78,387,160.465,78,0,0,0,0,1,1,0,0,0,1,0,0,0,291.182,0.727273,1.81818,514.27273,230.36364,125.27273,6.545
48,78,380,169.009,113,14,0,0,0,0,0,1,1,0,1,0,0,0,4.36364,3.90909,0.0909091,21.363636,40.363636,108.54545,0
49,78,576,194.466,40,0,0,0,0,1,1,0,0,1,0,0,0,0,336.091,0,0,739.18182,144.63636,62.909091,19.09
50,78,42,229.212,204,1,1,1,1,0,0,0,0,0,0,0,0,0,0,2.54545,0.0909091,131.45455,236.90909,641,0
51,78,48,173.727,183,86,1,1,1,0,0,0,0,0,0,0,0,0,50.6364,67.8182,10.7273,331.36364,371.18182,927.72727,4.818
52,78,49,181.739,246,34,1,1,1,0,0,0,0,0,0,0,0,0,6.09091,35.6364,1.81818,223.09091,258.27273,720.54545,1.182
53,78,501,165.849,211,4,1,1,1,0,0,0,0,0,0,0,0,0,0,34.0909,7.45455,20.090909,36.818182,240.45455,0.2727
